true,predicted,confidence
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.752
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.596
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.636
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.577
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.379
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.534
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.823
1 Pulses HAMMERING,5 Blasts,0.404
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.696
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.434
1 Pulses HAMMERING,5 Blasts,0.589
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.768
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.752
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.638
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.453
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.456
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.536
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.868
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.625
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.535
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.605
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.484
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.624
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.344
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.608
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.718
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.826
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.519
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.594
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.481
