true,predicted,confidence
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.58
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.516
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.625
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.361
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.886
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.728
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.358
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.597
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.875
1 Pulses HAMMERING,5 Blasts,0.703
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.937
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.655
1 Pulses HAMMERING,5 Blasts,0.741
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.691
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.633
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.681
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.4
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.485
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.78
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.626
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.406
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.526
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.744
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.598
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.695
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.572
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.908
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.921
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.923
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.561
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.382
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.656
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.637
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.593
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.593
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.726
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.515
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.541
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.374
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.463
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.444
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.496
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.72
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.751
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.606
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.602
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.612
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.629
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.468
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.517
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.814
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.835
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.604
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.826
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.61
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.728
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.626
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.683
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.878
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.909
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.902
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.943
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.717
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.605
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.503
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.413
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.798
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.853
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.78
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.75
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.605
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.759
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.531
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.766
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.785
5 Blasts,7 Works_ sirens and knocks en altas frec,0.506
5 Blasts,7 Works_ sirens and knocks en altas frec,0.527
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.559
6 Machinery continuous activity,1 Pulses HAMMERING,0.415
6 Machinery continuous activity,1 Pulses HAMMERING,0.395
6 Machinery continuous activity,5 Blasts,0.653
6 Machinery continuous activity,5 Blasts,0.646
6 Machinery continuous activity,5 Blasts,0.917
6 Machinery continuous activity,5 Blasts,0.889
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.956
