true,predicted,confidence
0 ActividadBASE_NO pattern activity,5 Blasts,0.589
0 ActividadBASE_NO pattern activity,5 Blasts,0.604
0 ActividadBASE_NO pattern activity,5 Blasts,0.48
0 ActividadBASE_NO pattern activity,5 Blasts,0.459
0 ActividadBASE_NO pattern activity,5 Blasts,0.48
0 ActividadBASE_NO pattern activity,5 Blasts,0.479
0 ActividadBASE_NO pattern activity,5 Blasts,0.52
0 ActividadBASE_NO pattern activity,5 Blasts,0.534
0 ActividadBASE_NO pattern activity,5 Blasts,0.494
0 ActividadBASE_NO pattern activity,5 Blasts,0.463
0 ActividadBASE_NO pattern activity,5 Blasts,0.487
0 ActividadBASE_NO pattern activity,5 Blasts,0.395
0 ActividadBASE_NO pattern activity,5 Blasts,0.395
0 ActividadBASE_NO pattern activity,5 Blasts,0.386
0 ActividadBASE_NO pattern activity,5 Blasts,0.392
0 ActividadBASE_NO pattern activity,5 Blasts,0.501
0 ActividadBASE_NO pattern activity,5 Blasts,0.446
0 ActividadBASE_NO pattern activity,5 Blasts,0.51
0 ActividadBASE_NO pattern activity,5 Blasts,0.454
0 ActividadBASE_NO pattern activity,5 Blasts,0.46
0 ActividadBASE_NO pattern activity,5 Blasts,0.485
0 ActividadBASE_NO pattern activity,5 Blasts,0.417
0 ActividadBASE_NO pattern activity,5 Blasts,0.583
0 ActividadBASE_NO pattern activity,5 Blasts,0.563
0 ActividadBASE_NO pattern activity,5 Blasts,0.554
0 ActividadBASE_NO pattern activity,5 Blasts,0.597
0 ActividadBASE_NO pattern activity,5 Blasts,0.443
0 ActividadBASE_NO pattern activity,5 Blasts,0.408
0 ActividadBASE_NO pattern activity,5 Blasts,0.425
0 ActividadBASE_NO pattern activity,5 Blasts,0.421
0 ActividadBASE_NO pattern activity,5 Blasts,0.418
0 ActividadBASE_NO pattern activity,5 Blasts,0.414
0 ActividadBASE_NO pattern activity,5 Blasts,0.524
1 Pulses HAMMERING,5 Blasts,0.883
1 Pulses HAMMERING,5 Blasts,0.601
1 Pulses HAMMERING,5 Blasts,0.694
1 Pulses HAMMERING,5 Blasts,0.765
1 Pulses HAMMERING,5 Blasts,0.787
1 Pulses HAMMERING,5 Blasts,0.572
2 Marked cycles 3 segundos,5 Blasts,0.585
2 Marked cycles 3 segundos,5 Blasts,0.636
2 Marked cycles 3 segundos,5 Blasts,0.61
2 Marked cycles 3 segundos,5 Blasts,0.601
2 Marked cycles 3 segundos,5 Blasts,0.635
2 Marked cycles 3 segundos,5 Blasts,0.624
2 Marked cycles 3 segundos,5 Blasts,0.622
2 Marked cycles 3 segundos,5 Blasts,0.633
2 Marked cycles 3 segundos,5 Blasts,0.663
2 Marked cycles 3 segundos,5 Blasts,0.628
2 Marked cycles 3 segundos,5 Blasts,0.512
2 Marked cycles 3 segundos,5 Blasts,0.57
2 Marked cycles 3 segundos,5 Blasts,0.59
2 Marked cycles 3 segundos,5 Blasts,0.587
2 Marked cycles 3 segundos,5 Blasts,0.528
2 Marked cycles 3 segundos,5 Blasts,0.532
2 Marked cycles 3 segundos,5 Blasts,0.527
2 Marked cycles 3 segundos,5 Blasts,0.592
2 Marked cycles 3 segundos,5 Blasts,0.622
2 Marked cycles 3 segundos,5 Blasts,0.619
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.621
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.61
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.579
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.543
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.597
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.648
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.607
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.777
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.618
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.516
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.598
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.698
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.711
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.721
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.848
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.707
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.603
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.664
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.618
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.611
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.609
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.655
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.647
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.645
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.615
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.654
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.714
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.635
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.619
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.658
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.627
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.611
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.54
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.647
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.6
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.58
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.549
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.625
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.613
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.598
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.608
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.631
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.611
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.612
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.577
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.53
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.535
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.468
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.506
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.499
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.537
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.495
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.44
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.461
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.473
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.467
