true,predicted,confidence
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.834
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.482
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.847
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.562
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.781
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.758
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.997
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.601
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.77
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.754
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.958
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.978
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.616
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,1.0
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.993
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.687
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.991
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.645
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.999
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.97
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.967
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.652
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.955
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.613
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.464
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.943
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.735
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.98
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.995
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.908
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.976
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.579
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.744
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.999
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.782
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.973
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.861
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.661
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.929
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.97
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.747
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.995
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.759
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.857
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.99
5 Blasts,1 Pulses HAMMERING,0.746
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.588
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.501
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,1.0
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.998
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.897
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.811
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.545
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.775
6 Machinery continuous activity,1 Pulses HAMMERING,0.925
7 Works_ sirens and knocks en altas frec,3 Continuous activity & tone 3.15kHz_SPL,0.96
