true,predicted,confidence
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.183
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.356
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.207
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.246
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.242
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.279
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.328
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.316
0 ActividadBASE_NO pattern activity,1 Pulses HAMMERING,0.166
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.168
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.201
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.323
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.418
0 ActividadBASE_NO pattern activity,7 Works_ sirens and knocks en altas frec,0.18
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.171
1 Pulses HAMMERING,0 ActividadBASE_NO pattern activity,0.21
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.28
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.163
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.319
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.175
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.244
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.214
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.195
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.185
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.186
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.337
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.232
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.169
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.541
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.514
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.822
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.287
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.177
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.255
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.263
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.607
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.326
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.959
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.698
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.764
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.346
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.216
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.235
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.202
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.182
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.227
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.431
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.21
